ID,Text,Comment
AnalyticsConsent.Agree,"Evet, kabul ediyorum",
AnalyticsConsent.Disagree,"Hayır, kabul etmiyorum",
AnalyticsConsent.Header,Oynanış verisi,Header of the panel that allows the player to consent to sending user data to the developers.
AnalyticsConsent.Info,"Lütfen Timberborn'u oynama şeklinize ilişkin veri paylaşarak oyunu daha iyi hâle getirmemize yardımcı olun.

Kabul ederseniz oyun oturumlarınız sırasında otomatik olarak oynanışa dair bilgiler toplanır.

Oyun içi ayarlardan istediğiniz zaman izinleri değiştirebilir ve verilerinizi silebilirsiniz. Daha fazla bilgi için <link><u>gizlilik politikamıza</u></link> göz atın.

Teşekkür ederiz!",
Attractions.LoadRate,Popülerlik,Header above a panel showing how popular an attraction is in each hour during the day
Attractions.Visitors,Ziyaretçiler,"A header above a list of beavers visiting an attraction, such as a campfire."
Attractions.VisitorsLimit,Ziyaretçiler: {0},{0} stands for capacity. Tells players the max capacity of the attraction in a shorter way
Autosave.Failure,Otomatik kayıt başarısız,Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.FailureDueToFullDisk,"Otomatik kayıt, yetersiz disk alanı nedeniyle başarısız",Notification on top of the window when autosave failed. It disappears after 10 seconds
Autosave.Success,Otomatik kayıt tamamlandı,"Notification on top of the window when autosave succeeded. Keep short, it disappears after 2 seconds"
BatchControl.Distribution,Dağıtım,Title of the distribution panel
BatchControl.Housing,Barınma,Tooltip of a tab allowing to manage housing buildings.
BatchControl.Mechanical,Enerji,Tooltip of a tab allowing to manage mechanical buildings. Power must be the same as used in Mechanical.PowerInput and other Mechanical. keys.
BatchControl.Migration,Göç,Title of migration panel
BatchControl.NoDistrict,Seçili bölge yok.,Shown when no district is selected on some batch control tabs
BatchControl.Population,Nüfus,Tooltip of a tab allowing to manage population.
BatchControl.ShowInfo,Yerleşimini düzenle,Button opening a window to view and manage multiple buildings and characters at once . Please keep short
BatchControl.Storage,Depolama,Tooltip of a tab allowing to manage warehouses.
BatchControl.Workplaces,İş Yerleri,Tooltip of a tab allowing to manage workplaces.
Beaver.Adult.TemplateName,Yetişkin kunduz,
Beaver.Adulthood,Yetişkinlik,Next to a progress bar that shows when a baby beaver reaches adulthood.
Beaver.Age,Yaş: {0},"{0} stands for number of days, for example 'Age: 5'."
Beaver.Child.TemplateName,Yavru kunduz,
Beaver.DeadNameSuffix,(ölü),Preceded by beaver name and age
Beaver.DiedOldAge,{0} yaşlılık sebebiyle öldü.,{0} stands for beaver name
Beaver.Employment,İstihdam,Header of a section that tells of how many and where beavers are working
Beaver.GrewUp,{0} büyüdü.,{0} stands for beaver name. A notification that a beaver achieved maturity.
Beaver.Homeless,Evsiz,Signifies that the beaver has no home
Beaver.HomelessPlural,Evsiz,Label before number of homeless beavers
Beaver.House,Yaşadığı yer: {0},{0} stands for Building.DisplayName. Tells which type of building the beaver resides in.
Beaver.Launched,{0} fırlatıldı.,{0} stands for beaver name. A notification that a beaver has been launched in a plane.
Beaver.PluralDisplayName,Kunduzlar,
Beaver.Population.Adults,Yetişkinler,Label before number of adult beavers
Beaver.Population.Children,Yavrular,Label before number of kit beavers
Beaver.Population.Contaminated,Hasta,Header of the list of beavers contaminated by badwater. Should be similar or same as Need.BadwaterContamination.DisplayName
Beaver.Population.ContaminatedAdults,Hasta yetişkinler,"Label before number of adult beavers contaminated by badwater. ""Contaminated"" should be similar or same as Need.BadwaterContamination.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project."
Beaver.Population.ContaminatedChildren,Hasta yavrular,"Label before number of children beavers contaminated by badwater. ""Contaminated"" should be similar or same as Need.BadwaterContamination.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project."
Beaver.Unemployed,İşsiz,"Signifies that the beaver has no job, singular"
Beaver.UnemployedPlural,İşsiz,"Used in population statistics, followed by the number of unemployed beavers"
Beaver.Workplace,Çalıştığı yer: {0},{0} stands for Building.DisplayName. Tells which type of building the beaver works in.
Bonus.CarryingCapacity,Taşıma kapasitesi,How much stuff a unit can carry
Bonus.CuttingSuccessChance,Kesme ihtimali,Cutting chance when cutting down a tree
Bonus.GrowthSpeed,Büyüme hızı,Speed at which young beavers grow up
Bonus.LifeExpectancy,Ortalama yaşam süresi,The presumed length of beavers' life.
Bonus.MovementSpeed,Hareket hızı,"Describes how fast character can move (bonus to walking, running and swimming)."
Bonus.WorkingSpeed,Çalışma hızı,Speed at which the beavers work.
Bot.BeaversPerished,"Kunduz falan deme bana hiç.
Temiz havadan tut, tatlı suya kadar her şeyleri vardı.
Şimdi hepsi mazide kaldı.","Text for a game over state, when all beavers have perished."
Bot.Created,{0} oluşturuldu!,{0} stands for bot name. Notification that shows when production of a new bot finishes.
Bot.DeadNameSuffix,(imha edildi),Preceded by bot name and age
Bot.DeathMessage,{0} bozuldu.,{0} stands for bot name. Notification that shows when a bot breaks down completely (it's destroyed)
Bot.DisplayName.Folktails,Kerestebot {0},{0} stands for a bot serial number. Name of bots from the Folktails faction. Named after the fact they are visibly made from wood.
Bot.DisplayName.IronTeeth,Demirbot {0},{0} stands for a bot serial number. Name of bots from the Iron Teeth faction. Named after the fact they are visibly made from metal.
Bot.Durability,Dayanıklılık,Label before a progress bar showing amount of durability left
Bot.PluralDisplayName,Botlar,"Bots are autonomous robots, who assist beavers in their everyday tasks. They are constructed in factories."
Bot.TemplateName,Bot,A bot is an animated anthropomorphic being which is created from inanimate matter. Timberborn bots are depicting beavers and are made of wood and metal.
Breeding.NutrientBringing,"Gıda; nakliyeciler, işsizler ve iş çıkışında işçiler tarafından getirilir.","Haulers are the same as in Building.HaulingPost.Description, unemployed as in Beaver.UnemployedPlural, workers as in Work.WorkersLabel"
Breeding.NutrientsNeeded,Gerekli gıdalar:,Followed by a list of nutrients needed to produce a new beaver in breeding facility
Breeding.Progress,Üreme ilerlemesi,Label inside a progress bar describing production progress of new beaver in breeding facility
BuilderPriorityTool.Description,"İnşaat, yıkım ve Molozlardan mal toplama eylemlerinin önceliğini belirlemek için bu aracı kullan.",Rubble should be plural version of RecoveredGoodStack.DisplayName
BuilderPriorityTool.Tip,Öncelik belirlemek için bir ögeye tıkla veya daha büyük bir alanı seçmek için düğmeyi basılı tut.,
Building.AdvancedBreedingPod.Description,"Gelişmiş bir üreme süreci kullanarak yetişkin, işe atılmaya hevesli kunduzlar dünyaya getirir.",Breeding should be the same as Building.BreedingPod.DisplayName
Building.AdvancedBreedingPod.DisplayName,Gelişmiş Üreme Kapsülü,
Building.AdvancedBreedingPod.FlavorDescription,"Bir yavru, öz dolu bir kazana düşüp onun tamamını içtikten sonra birden bire boy atınca bu fikir ortaya çıktı.","Extract must be the same as Good.Extract.DisplayName, kit is a young beaver."
Building.Agora.Description,Kunduzların kerestelerle ilgili konuları konuşabileceği büyük bir toplanma alanı.,
Building.Agora.DisplayName,Agora,
Building.Agora.FlavorDescription,"Yeşil ateşlerin yanması, Köykuyrukların toplanması için bir işarettir.",Folktails must be same as faction as Faction.Folktails.DisplayName.
Building.AncientAquiferDrill.DisplayName,Kadim Akifer Kazıcısı,
Building.AquaticFarmhouse.Description,<YellowHighlight>Sucul</YellowHighlight> ekinler ekip biçen özel çiftçileri istihdam eder.,"Aquatic is a keyword, must be the same as in NaturalResources.Aquatic."
Building.AquaticFarmhouse.DisplayName,Sucul Çiftlik Evi,A farmhouse that specializes in water plants.
Building.AquaticFarmhouse.FlavorDescription,"""Bir zamanlar balık yediğimize dair bir söylenti vardı. İğrenç!"" —Ngonel Nine","Beavers eating fish is a common misconception. Beavers are 100% herbivores. Ma' Ngonel is an almost legendary figure - a beaver grandma, known for her stern hand, cooking skills and respect among both kits and adult beavers. Her name is an inside joke, as our community constantly demands an addition of catapults, mangonels etc."
Building.Aquifer.Description,Bir yer altı su kaynağı.,
Building.Aquifer.DisplayName,Akifer,
Building.AquiferDrill.Description,Bir akiferden su çıkarır.,
Building.AquiferDrill.DisplayName,Akifer Kazıcısı,
Building.BadtideDrain.Description,Bir Bulantı Mevsimi sırasında bulantı fışkırtır.,
Building.BadtideDrain.DisplayName,Bulantı Gideri,
Building.BadwaterDischarge.Description,Bir Bulantı Kaynağı'nı mühürler. Açıp kapatabilirsin. Açık olduğunda kuraklık döneminde bile bulantı akışını devam ettirir.,"Badwater Source must be the same as Building.BadwaterSource.DisplayName, Badwater must be the same as Good.Badwater.DisplayName."
Building.BadwaterDischarge.DisplayName,Bulantı Tahliyesi,"Name of the building that can either stop flow of badwater or enforce flow with full power. It's a dome shaped, mechanical building that opens and closes like a camera shutter. Badwater must be the same as Good.Badwater.DisplayName."
Building.BadwaterDischarge.FlavorDescription,Yalnızca gerçek inşaat mühendisleri yaklaşabilir.,This is a reference to a youtuber called Real Civil Engineer.
Building.BadwaterDome.Description,Bir Bulantı Kaynağı'nı mühürler. İstediğinde açıp kapatılabilirsin.,"Badwater Source must be the same as Building.BadwaterSource.DisplayName, Badwater must be the same as Good.Badwater.DisplayName."
Building.BadwaterDome.DisplayName,Bulantı Kubbesi,Name of the building that stops flow of badwater when put on its source. It's a dome shaped mechanical building that can open and close by raising the cover up and down. Badwater must be the same as Good.Badwater.DisplayName.
Building.BadwaterDome.FlavorDescription,Bulantı yoksa dert yok.,"This is a reference to a Bob Marley song ""No woman, no cry""."
Building.BadwaterPump.Description,"Bulantıyı dışarı pompalayabilen güçlendirilmiş bir pompa. Düşük bulantı kirliliği, pompalama hızını yavaşlatır.",Badwater should be the same as Good.Badwater.DisplayName. Ideally all uses of the word contaminate/contamination/contaminated should be uniform across the project.
Building.BadwaterPump.DisplayName,Bulantı Pompası,Badwater should be the same as Good.Badwater.DisplayName.
Building.BadwaterPump.FlavorDescription,"""Keşke önlem olarak burun tıkacı da verilseydi."" —Suli",Suli is a younger beaver that likes to play tricks on their fellow beavers and isn't related to any faction in particular. Translated name shouldn't suggest a gender if possible.
Building.BadwaterRig.Description,Bir Bulantı Kaynağını mühürler. Bulantıyı doğrudan kaynağından çıkaran işçileri istihdam eder.,"Badwater Source must be the same as Building.BadwaterSource.DisplayName, Badwater must be the same as Good.Badwater.DisplayName."
Building.BadwaterRig.DisplayName,Bulantı Kulesi,Name of the building that stops flow from badwater source and generates Good.Badwater.DisplayName goods (by extracting them from source). It's a mechanical building that needs workers to operate. Badwater must be the same as Good.Badwater.DisplayName
Building.BadwaterRig.FlavorDescription,Kaynayan bulantı kaynaklarının tepesinde çalışan işçiler sürekli baskı altındadır.,Play on words with pressure referring to both water pressure and stress. If possible try to adapt the phrase to fit your language.
Building.BadwaterSeep.Description,Sınırlı basınca sahip bir bulantı kaynağı.,
Building.BadwaterSeep.DisplayName,Bulantı Sızıntısı,"A building that allows badwater to seep through, creating a natural badwater source."
Building.BadwaterSource.DisplayName,Bulantı Kaynağı,A crack or spring in the ground spuming badwater. Badwater should be the same as Good.Badwater.DisplayName.
Building.BadwaterSource.FlavorDescription,"""Biz neden bu insancıkların arkasını toplamak zorundayız ki? Doğru ya, hepsi öldü çünkü."" —Pina",
