ID,Text,Comment
IgorZ.SmartPower.BatteryCapacity,"Batteries charge: {0} / {1}",
IgorZ.SmartPower.BatteryCapacityPct,"Batteries charge: {0} ({1}%)",
IgorZ.SmartPower.BatteryCharging,"Batteries charging: <GreenHighlight>🡅</GreenHighlight>{0} ({1})",
IgorZ.SmartPower.BatteryDischarging,"Batteries discharging: <RedHighlight>🡇</RedHighlight>{0} ({1})",
IgorZ.SmartPower.BatteryNotUsed,"<GreenHighlight>Batteries not used</GreenHighlight>",
IgorZ.SmartPower.BatteryDepleted,"<RedHighlight>Batteries depleted</RedHighlight>",
IgorZ.SmartPower.PowerOutputBalancer.AutomateGenerator,"Automate this generator",
IgorZ.SmartPower.PowerOutputBalancer.ChargeBatteriesRangeText,"Keep batteries charge in range {0}% - {1}%",
IgorZ.SmartPower.PowerOutputBalancer.ApplyToAllGenerators,"Apply to all generators",
IgorZ.SmartPower.PowerOutputBalancer.AppliedToGenerators,"Applied to {0} generators",
IgorZ.SmartPower.PowerOutputBalancer.SuspendedModeStatus,"Suspended due to excessive supply",
IgorZ.SmartPower.MechanicalBuilding.NoWorkersStatus,"<YellowHighlight>⏻</YellowHighlight> No workers at workplace",
IgorZ.SmartPower.MechanicalBuilding.NoFuelStatus,"<YellowHighlight>⏻</YellowHighlight> Fuel has run out",
IgorZ.SmartPower.MechanicalBuilding.NoInputStatus,"<YellowHighlight>⏻</YellowHighlight> Missing ingredients",
IgorZ.SmartPower.MechanicalBuilding.BlockedOutputStatus,"<YellowHighlight>⏻</YellowHighlight> Too much products",
IgorZ.SmartPower.MechanicalBuilding.PowerSavingModeStatus,"Power saving mode",
IgorZ.SmartPower.PowerInputLimiter.SuspendIfNoPower,"Suspend if not enough power",
IgorZ.SmartPower.PowerInputLimiter.SuspendIfLowEfficiency,"Minimum efficiency: {0}%",
IgorZ.SmartPower.PowerInputLimiter.MinBatteriesRatio,"Stop if batteries charge is below {0}%",
IgorZ.SmartPower.PowerInputLimiter.ApplyToAllBuildings,"Apply to all such buildings",
IgorZ.SmartPower.PowerInputLimiter.AppliedToBuildings,"Applied to {0} buildings",
IgorZ.SmartPower.PowerInputLimiter.PowerShutdownModeStatus,"Suspended to conserve energy",
IgorZ.SmartPower.PowerInputLimiter.NotEnoughPowerStatus,"<RedHighlight>⏻</RedHighlight> Not enough power",
IgorZ.SmartPower.PowerInputLimiter.LowBatteriesChargeStatus,"<RedHighlight>⏻</RedHighlight> Not enough batteries charge",
IgorZ.SmartPower.Common.MinutesTillResume,"<GreenHighlight>⏻</GreenHighlight> Will resume in {0} minutes",
IgorZ.SmartPower.Common.MinutesTillSuspend,"<YellowHighlight>⏻</YellowHighlight> Will suspend in {0} minutes",
IgorZ.SmartPower.Settings.DebugSection,"Debug and troubleshooting",
IgorZ.SmartPower.Settings.Debug.VerboseLogging,"Verbose logging",
IgorZ.SmartPower.Settings.Debug.VerboseLoggingTooltip,"Logs will have more useful details, but it may impact game performance.",
IgorZ.SmartPower.Settings.BatteriesSection,"Batteries",
IgorZ.SmartPower.Settings.Batteries.ShowBatteryVitals,"Show battery stats",
IgorZ.SmartPower.Settings.Batteries.BatteryCapacityAsPct,"Show battery charge in percent",
IgorZ.SmartPower.Settings.Batteries.BatteryRatioHysteresis,"Consumers activation hysteresis (hours)",
IgorZ.SmartPower.Settings.Batteries.BatteryRatioHysteresisTooltip,"Suspended consumers will not resume if they cannot run on batteries for at least the specified duration.",
IgorZ.SmartPower.Settings.WalkerPoweredGeneratorSection,"Beaver-powered generators",
IgorZ.SmartPower.Settings.GoodConsumingGeneratorSection,"Good-consuming generators",
IgorZ.SmartPower.Settings.Manufactory.ConsumeOneHorsepower,"Consume only 1 hp in power saving mode","When enabled, manufactories in power saving mode consume 1 hp instead of 10% of nominal power."
IgorZ.SmartPower.Settings.Manufactory.ConsumeOneHorsepowerTooltip,"By default, power saving mode consumes 10% of the building's nominal power. Enable this option to reduce it to 1 hp.","Tooltip for the 1 hp power saving mode setting."
IgorZ.SmartPower.Settings.ManufactorySection,"Manufactories","Settings section for manufactory power saving behavior."
IgorZ.SmartPower.Settings.WorkplaceConsumerSection,"Workshops with a workplace",
IgorZ.SmartPower.Settings.UnmannedConsumerSection,"Unmanned buildings",
IgorZ.SmartPower.Settings.AttractionConsumerSection,"Attractions",
IgorZ.SmartPower.Settings.UI.ShowFloatingIcon,"Show floating icon",
IgorZ.SmartPower.Settings.Hysteresis.ResumeDelay,"Resume delay (minutes)",
IgorZ.SmartPower.Settings.Hysteresis.SuspendDelay,"Suspend delay (minutes)",
