ID,Text,Comment
IgorZ.SmartPower.BatteryCapacity,"Charge de batteries : {0} / {1}",
IgorZ.SmartPower.BatteryCharging,"Chargement de batteries : <GreenHighlight>🡅</GreenHighlight>{0} ({1})",
IgorZ.SmartPower.BatteryDischarging,"Décharge de batteries : <RedHighlight>🡇</RedHighlight>{0} ({1})",
IgorZ.SmartPower.PowerOutputBalancer.AutomateGenerator,"Automatiser ce générateur",
IgorZ.SmartPower.PowerOutputBalancer.ChargeBatteriesRangeText,"Maintenir la charge de batteries entre {0}% - {1}%",
IgorZ.SmartPower.PowerOutputBalancer.ApplyToAllGenerators,"Appliquer à tous les générateurs",
IgorZ.SmartPower.PowerOutputBalancer.AppliedToGenerators,"Appliqué aux générateurs {0}",
IgorZ.SmartPower.MechanicalBuilding.NoWorkersStatus,"<SolidHighlight>⏻</SolidHighlight> Pas de travailleurs sur le lieu de travail",
IgorZ.SmartPower.MechanicalBuilding.NoFuelStatus,"<SolidHighlight>⏻</SolidHighlight> Pas de carburant",
IgorZ.SmartPower.MechanicalBuilding.NoInputStatus,"<SolidHighlight>⏻</SolidHighlight> Ingrédients manquants",
IgorZ.SmartPower.MechanicalBuilding.BlockedOutputStatus,"<SolidHighlight>⏻</SolidHighlight> Trop de marchandises",
IgorZ.SmartPower.MechanicalBuilding.PowerSavingModeStatus,"Mode économie d'énergie",
